Team,Name,Pos,Age,Proj PA,Proj IP,Service Time,Options or R5 Status,Projected Opening Day Status,NameASCII,PlayerId,MLBAMID
KCR,Vinnie Pasquantino,1B,28.3,644,,3.101,3,Lineup Regular,,27676,686469
KCR,Salvador Perez,C,35.8,626,,14.050,n/a,Lineup Regular,,7304,521692
KCR,Jonathan India,2B,29.2,553,,5.000,n/a,Lineup Regular,,21523,663697
KCR,Jac Caglianone,RF,23.0,525,,0.118,3,Lineup Regular,,35041,695506
KCR,Isaac Collins,LF,28.6,420,,1.022,3,Lineup Regular,,25477,686555
KCR,Kyle Isbel,CF,29.0,490,,4.043,2,Platoon vs R,,21614,664728
KCR,Carter Jensen,DH,22.6,401,,0.028,3,Platoon vs R,,29478,695600
KCR,Lane Thomas,OF,30.5,399,,6.014,n/a,Platoon vs L,,16939,657041
KCR,Nick Loftin,INF/OF,27.4,112,,1.081,1,Platoon vs L,,27630,679845
KCR,Michael Wacha,SP,34.6,,164,12.062,n/a,Starting Rotation,,14078,608379
KCR,Cole Ragans,SP,28.2,,163,3.029,2,Starting Rotation,,21846,666142
KCR,Seth Lugo,SP,36.2,,160,9.082,n/a,Starting Rotation,,12447,607625
KCR,Kris Bubic,SP,28.5,,145,5.135,n/a,Starting Rotation,,21455,663460
KCR,Noah Cameron,SP,26.6,,142,0.137,2,Starting Rotation,,30184,702070
KCR,Michael Massey,INF/OF,27.9,336,,3.068,3,Bench,,27684,686681
KCR,Tyler Tolbert,INF/OF,28.0,98,,0.144,2,Bench,,25779,686475
KCR,Carlos Estévez,RP,33.1,,65,9.022,n/a,Closer,,14542,608032
KCR,Matt Strahm,RP,34.3,,66,9.064,n/a,Setup Man,,13799,621381
KCR,Lucas Erceg,RP,30.8,,62,2.136,3,Setup Man,,19360,668674
KCR,John Schreiber,RP,31.9,,64,5.027,n/a,Middle Reliever,,20020,670167
KCR,Nick Mears,RP,29.4,,60,4.022,0,Middle Reliever,,25376,683232
KCR,Daniel Lynch IV,RP,29.2,,59,3.136,1,Middle Reliever,,21537,663738
KCR,Alex Lange,RP,30.4,,52,3.145,1,Middle Reliever,,19883,656638
KCR,Bailey Falter,RP,28.8,,73,3.138,0,Long Reliever,,20070,663559
KCR,Alec Marsh,SP,27.8,,,2.078,1,60-Day IL,,27451,679525
KCR,John Rave,OF,28.1,147,,0.102,2,Lineup/Bench Candidate,,26284,670231
KCR,Dairon Blanco,OF,32.8,56,,2.027,2,Bench Candidate,,19779,680118
KCR,Kameron Misner,OF,28.1,49,,0.117,1,Lineup/Bench Candidate,,26374,670224
KCR,Kevin Newman,INF,32.5,14,,7.003,n/a,Bench Candidate,,17696,621028
KCR,Josh Rojas,INF,31.6,14,,5.104,n/a,Bench Candidate,,19734,668942
KCR,Drew Waters,OF,27.1,,,1.149,0,Bench Candidate,,20505,671221
KCR,Carson Roccaforte,OF,23.9,,,,Dec'26,Lineup/Bench Candidate,,sa3022825,811287
KCR,Abraham Toro,INF,29.2,,,4.106,0,Lineup/Bench Candidate,,19844,647351
KCR,Gavin Cross,OF,25.0,,,,R5,Lineup/Bench Candidate,,sa3019985,688457
KCR,Daniel Vazquez,INF,22.2,,,,R5,Lineup/Bench Candidate,,sa3016143,694187
KCR,Omar Hernandez,C,24.2,,,,R5,Bench Candidate,,sa3010155,683427
KCR,Elih Marrero,C,28.7,,,,R5,Bench Candidate,,sa3007822,663503
KCR,Jorge Alfaro,C,32.7,,,5.160,n/a,Bench Candidate,,12180,595751
KCR,Connor Kaiser,INF,29.2,,,0.073,3,Bench Candidate,,21535,663731
KCR,Peyton Wilson,INF/OF,26.3,,,,R5,Lineup/Bench Candidate,,sa3017110,686523
KCR,Ramon Ramirez,C,20.7,,,,Dec'27,Bench Candidate,,sa3021637,808675
KCR,Blake Mitchell,C,21.5,,,,Dec'27,Bench Candidate,,sa3022756,805810
KCR,Luca Tresh,C,26.1,,,,R5,Bench Candidate,,sa3017394,681123
KCR,Canyon Brown,C,22.5,,,,Dec'27,Bench Candidate,,sa3025630,701401
KCR,Stephen Kolek,SP/RP,28.8,,77,1.099,2,Rotation/Bullpen Candidate,,21487,663568
KCR,Ryan Bergert,SP,25.9,,60,0.113,2,Rotation/Bullpen Candidate,,29863,686701
KCR,Steven Cruz,RP,26.7,,45,1.058,2,Bullpen Candidate,,23165,674444
KCR,Luinder Avila,SP/RP,24.5,,42,0.033,2,Rotation/Bullpen Candidate,,24452,679883
KCR,Mason Black,SP,26.2,,40,0.051,1,Rotation/Bullpen Candidate,,30171,696131
KCR,James McArthur,RP,29.2,,40,2.150,1,Bullpen Candidate,,21527,663704
KCR,Eli Morgan,RP,29.8,,28,4.091,1,Bullpen Candidate,,20203,669212
KCR,Héctor Neris,RP,36.7,,22,10.004,n/a,Bullpen Candidate,,11804,593576
KCR,Mitch Spence,SP/RP,27.8,,16,1.124,2,Rotation/Bullpen Candidate,,27707,687765
KCR,Ben Kudrna,SP,23.0,,16,0.000,3,Rotation/Bullpen Candidate,,sa3018253,695667
KCR,Eric Cerantola,RP,25.8,,12,0.000,2,Bullpen Candidate,,sa3017914,672021
KCR,Steven Zobac,SP,25.3,,,0.000,3,Rotation/Bullpen Candidate,,sa3020875,686632
KCR,Hunter Patteson,SP,25.9,,,,R5,Rotation/Bullpen Candidate,,sa3020954,687593
KCR,Chazz Martinez,RP,26.1,,,,R5,Bullpen Candidate,,sa3020468,681324
KCR,Shane Panzini,SP/RP,24.3,,,,R5,Rotation/Bullpen Candidate,,sa3018257,695556
KCR,Jose Cuas,RP,31.6,,,2.019,1,Bullpen Candidate,,17701,621016
KCR,Helcris Olivárez,RP,25.5,,,0.131,1,Bullpen Candidate,,sa3002965,672487
KCR,Frank Mozzicato,SP,22.7,,,,R5,Rotation/Bullpen Candidate,,sa3018242,700924
KCR,Dennis Colleran,RP,22.5,,,,Dec'27,Bullpen Candidate,,sa3029168,701207
KCR,Aaron Sanchez,SP/RP,33.6,,,6.113,n/a,Rotation/Bullpen Candidate,,11490,592717
LAA,Zach Neto,SS,25.0,665,,2.170,3,Lineup Regular,,31347,687263
LAA,Nolan Schanuel,1B,24.0,616,,2.045,3,Lineup Regular,,33189,694384
