dataset,stat,kind,season,level_id,pitch_tag,n_players,mu,var_obs,var_within,var_true,var_between,K,n_50,n_70,n_80
hitters,z_con,rate,2024,11,,733,0.8253983913316016,0.004021665299934355,0.0012732408907314514,0.0027484244092029035,,51.435819750488335,51.435819750488335,120.01691275113944,205.74327900195334
hitters,z_con,rate,2025,16,,43,0.8230325635497748,0.00644598964201532,0.005397388370218691,0.0010486012717966292,,137.8992811699629,137.8992811699629,321.7649893965801,551.5971246798516
hitters,z_con,rate,2021,14,,280,0.7899347347037619,0.006806928378799077,0.00213373981682478,0.004673188561974297,,34.508485782597,34.508485782597,80.51980015939299,138.03394313038802
hitters,secondary_whiff_pct,rate,2023,11,,737,0.3339924644350073,0.007538892790045065,0.0022618719939912686,0.005277020796053796,,41.15285607780463,41.15285607780463,96.0233308482108,164.61142431121854
hitters,secondary_whiff_pct,rate,2022,14,,279,0.3986492477064775,0.013371379195418021,0.003856820030005544,0.009514559165412478,,24.195915106713645,24.195915106713645,56.457135248998505,96.7836604268546
hitters,secondary_whiff_pct,rate,2025,14,,268,0.3388162085506364,0.009260353260545688,0.0031528091818081192,0.006107544078737569,,35.67919256676294,35.67919256676294,83.25144932244687,142.71677026705177
hitters,secondary_whiff_pct,rate,2021,1,,632,0.343871683993004,0.010578308207425889,0.002327808440435266,0.008250499766990622,,26.34670084393156,26.34670084393156,61.47563530250698,105.38680337572626
hitters,secondary_whiff_pct,rate,2024,1,,584,0.3224235737815014,0.007400344508603025,0.001728835436719794,0.005671509071883231,,37.52001470552599,37.52001470552599,87.54670097956064,150.08005882210395
hitters,secondary_whiff_pct,rate,2016,1,,603,0.34175553874226566,0.010929028364035169,0.0025687047415149083,0.00836032362252026,,25.90789264129401,25.90789264129401,60.45174949635269,103.63157056517605
hitters,secondary_whiff_pct,rate,2017,1,,608,0.3500466205888947,0.01048967682871827,0.002559903323704286,0.007929773505013983,,27.69110748993428,27.69110748993428,64.61258414317999,110.76442995973713
hitters,secondary_whiff_pct,rate,2024,11,,710,0.33304136708598353,0.007965244908204399,0.002066960895253328,0.005898284012951071,,36.659226718780474,36.659226718780474,85.53819567715443,146.6369068751219
hitters,secondary_whiff_pct,rate,2023,14,,257,0.3747467542435538,0.012455642618279415,0.003557727881782998,0.008897914736496417,,25.333318689423205,25.333318689423205,59.11107694198748,101.33327475769283
hitters,secondary_whiff_pct,rate,2025,16,,26,0.39356642358752425,0.010240691306789002,0.009010987354161686,0.001229703952627316,,193.08890514023054,193.08890514023054,450.54077866053797,772.3556205609223
hitters,secondary_whiff_pct,rate,2022,11,,366,0.3475560368057987,0.010286697382320227,0.003743497419354095,0.006543199962966132,,33.65595417671614,33.65595417671614,78.530559745671,134.62381670686457
hitters,secondary_whiff_pct,rate,2025,11,,752,0.32754507449786296,0.007898513584190681,0.002252070958527087,0.0056464426256635945,,38.0085073509742,38.0085073509742,88.68651715227314,152.0340294038968
hitters,secondary_whiff_pct,rate,2019,1,,643,0.34892065859158744,0.0112073634528474,0.0024005103473757343,0.008806853105471666,,24.795256248620444,24.795256248620444,57.8555979134477,99.18102499448179
hitters,secondary_whiff_pct,rate,2020,1,,484,0.34126804588702636,0.008692455319962426,0.002860501045271576,0.00583195427469085,,37.54697004725635,37.54697004725635,87.6095967769315,150.1878801890254
hitters,secondary_whiff_pct,rate,2021,14,,259,0.39039429117244767,0.011546406817354265,0.0037093293054351237,0.00783707751191914,,29.366751921295187,29.366751921295187,68.52242114968877,117.46700768518075
hitters,secondary_whiff_pct,rate,2015,1,,599,0.3425885920759929,0.01210458574012624,0.0025357604873003634,0.009568825252825878,,22.53702180827987,22.53702180827987,52.5863842193197,90.1480872331195
hitters,secondary_whiff_pct,rate,2022,1,,603,0.32426448393317914,0.007074483360965405,0.0017721736101500938,0.005302309750815311,,40.32482610225394,40.32482610225394,94.09126090525918,161.29930440901575
hitters,secondary_whiff_pct,rate,2024,14,,286,0.3603947649627103,0.010227393928549305,0.003581817602390672,0.006645576326158633,,33.686288598151705,33.686288598151705,78.60134006235397,134.74515439260682
